Query,Tab Complete,Regex Matches,Exact and Fuzzy Matches,Total Matches,Combined Search Time (ms),Merging Time (ms),Total Runtime (ms),,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15
The Lord f the Rngs: The Flwshp f the Ring,,0,15,15,113.12798,0.03455,113.347172,,The Lord of the Rings: The Fellowship of the Ring,Christiane F.,F/X,The Lord of the Rings,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King,F for Fake,Who the F**K Is Arthur Fogel,Something the Lord Made,Ringers: Lord of the Fans,Edges of the Lord,The Ring,The Ring Two,The Ring Finger,At Play in the Fields of the Lord
Th Drk Knght,,0,15,15,135.720781,0.014481,135.906808,,The Dark Knight,The Dark Knight Rises,"Batman: The Dark Knight Returns, Part 2","Batman: The Dark Knight Returns, Part 1",Tales from the Crypt: Demon Knight,The Dark Angel,Dreams That Money Can Buy,Knights of the Round Table,The Dark at the Top of the Stairs,"The 1,000 Eyes of Dr. Mabuse",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,A Shot in the Dark,Dark of the Sun,The Abominable Dr. Phibes,The Way of the Dragon
Fight Clb,,0,15,15,105.867872,0.038918,106.04268,,Fight Club,Street Fight,Girl Fight,Fight Back to School,Why We Fight,Fight for Your Right Revisited,Muhammad Ali's Greatest Fight,Escape Fire: The Fight to Rescue American Healthcare,Ip Man: The Final Fight,Fighter in the Wind,Fighter Pilot: Operation Red Flag,Foo Fighters: Back and Forth,The Fighting Lady,The Fighting Temptations,A Fighting Man
Incptn,,0,6,6,100.86293,0.019817,101.022033,,Pretty in Pink,Maledetto il giorno che t'ho incontrato,An Inconvenient Truth,Oscar and the Lady in Pink,Incendies,Inception,,,,,,,,,
Th Ln Kng,,0,15,15,96.32084,0.037255,96.493885,,The Line King: The Al Hirschfeld Story,The White Haired Witch of Lunar Kingdom,The Lion King,The Last of the High Kings,The Long Kiss Goodnight,The Lion King 2: Simba's Pride,The Lord of the Rings: The Return of the King,The Lion King 1 1/2,The Lion King 1 1/2,The Librarian: Return to King Solomon's Mines,The Last King of Scotland,The Killing of John Lennon,I Know a Woman Like That,"Chris Rock: Kill the Messenger - London, New York, Johannesburg",In the Land of the Head Hunters
Hrry Pott and th Philospher's Stne,,0,15,15,114.342344,0.034289,114.476848,,Harry Potter and the Sorcerer's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 2,Harry and the Hendersons,Strange Powers: Stephin Merritt and the Magnetic Fields,Shun Li and the Poet,Harry and Tonto,Here and There,Monty Python and the Holy Grail,Slappy and the Stinkers
The Avenrs,,0,15,15,153.9465,0.014499,154.019696,,The Avengers,The Avengers,The Age of the Earth,The Adversary,The Adversary,The Overcoat,The Verdict,The Event,The Aviator,The American,The Ape,The Aviators,The Overnighters,The Overnight,The Decline of the American Empire
Avtar,,0,15,15,112.916087,0.035185,113.018047,,Antarctica,The Dangerous Lives of Altar Boys,Shackleton's Antarctic Adventure,Antares,Antarctic Journal,Avatar,Antarctica: A Year on Ice,Meshes of the Afternoon,A Tree Grows in Brooklyn,I See a Dark Stranger,Apartment for Peggy,Awaara,Strangers on a Train,The Actress,A Star Is Born
Th Termnator,,0,15,15,92.456832,0.022944,92.656488,,The Terminator,The Terminal,The Terminal,Coming to Terms,From the Terrace,Indiana Jones and the Temple of Doom,The Terrorizers,The Temp,The Temptations,Terminator 3: Rise of the Machines,The Terrorist,Bridge to Terabithia,The Temptation of St. Tony,The Tempest,Almanya: Welcome to Germany
Th Slnc f the Lmbs,,0,15,15,110.415335,0.018495,110.562136,,Christiane F.,F/X,Who the F**K Is Arthur Fogel,F for Fake,The Silence of the Lambs,The Sunchaser,The Lobster,The Last Sunset,The Lost Son,The Last Song,The Last Sentence,The Children of Sanchez,Breaking the Silence: Truth and Lies in the War on Terror,Ever Since the World Ended,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara
Gladiatr,,0,4,4,96.858924,0.013645,96.967345,,Gladiator,The Graduate,Graduation,Ghost Graduation,,,,,,,,,,,
Th Prstge,,0,15,15,92.074681,0.016899,92.146634,,Thirst,Thirst,Thirst,The Thirsting,Thirst,Lost Boys: The Thirst,Drew: The Man Behind the Poster,A Thirsty World,The Great Train Robbery,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",Gertie the Dinosaur,In the Land of the Head Hunters,The Perils of Pauline,The Italian,The Poor Little Rich Girl
Intrstelar,,0,9,9,96.502982,0.033852,96.650894,,Intruder in the Dust,Intruders,Intersection,Interstate 60: Episodes of the Road,The Intruder,The Intruder,Interstellar,Intruders,Hamilton: I nationens intresse,,,,,,
Gdfllas,,0,0,0,94.353977,0.0005969999993,94.464651,,,,,,,,,,,,,,,,
Th Grn Mle,,0,15,15,94.163668,0.014505,94.238441,,The Green Mile,3000 Miles to Graceland,Take Me Out to the Ball Game,The Great Manhunt,The Grand Maneuver,The Grand Maneuver,The Great Man,The Man in the Gray Flannel Suit,The Great Northfield Minnesota Raid,The Man with the Golden Gun,Monty Python and the Holy Grail,God Told Me To,The Great Muppet Caper,The Great Mouse Detective,Maledetto il giorno che t'ho incontrato
The Depardd,,0,15,15,206.144547,0.012457,206.212098,,The Departure,The Departed,The Dependent,The Depraved,The Deposit,"The World, the Flesh and the Devil",The Naked and the Dead,The Desert of the Tartars,The Quick and the Dead,The Living and the Dead,The Roses of the Desert,The House of the Devil,The Famous and the Dead,The Dead and the Living,The Deceased
Schindlr's Lst,,0,15,15,120.952186,0.030721,121.037073,,Schindler's List,The Poor Little Rich Girl,Little Caesar,Three Little Pigs,Little Miss Marker,The Lost Patrol,The Letter,The Little Foxes,The Last Chance,Let There Be Light,Lost Youth,Little Women,Lost Boundaries,Das doppelte Lottchen,Father's Little Dividend
Th Shinng,,0,15,15,154.901942,0.013574,154.987534,,The Shining,Sex and the Single Girl,The Singing Nun,Shining Through,The Singing Detective,The Singer (Quand j'ètais chanteur),Choppertown: The Sinners,The Single Moms Club,"To Singapore, with Love",The Sin of Madelon Claudet,The Sin of Harold Diddlebock,Singin' in the Rain,The Sun Shines Bright,Lady Sings the Blues,The Sting
Brveheart,,0,1,1,92.221489,0.014774,92.405545,,Braveheart,,,,,,,,,,,,,,
